title,genre,image
Arjun Reddy,Romance,img\arjun_reddy.jpg
Eega,Fantasy,img\eega.jpeg
Magadheera,Action,img\magadherra.jpeg
Baahubali: The Beginning,Action,img\bahubali1.jpeg
Baahubali: The Conclusion,Action,img\bahubali2.jpeg
Malliswari,Romance,img\malleswari.jpeg
Rangasthalam,Drama,img\rangastalam.jpeg
Bharat Ane Nenu,Drama,img\barath ana nanu.jpeg
Pelli Sandadi,Comedy,img\palli sandhadi.jpeg
Seethamma Vakitlo Sirimalle Chettu,Drama,img\sethama vakitlo.jpeg
Ninnu Kori,Romance,img\ninu kori.jpeg
Chalo,Comedy,img\chalo.jpeg
Geetha Govindam,Romance,img\geetha govindam.jpg
50 Shades of Telugu,Comedy,img\jagan.jpeg
Sye,Action,img\sye.jpeg
Annamayya,Historical,img\annamaya.jpg
Kshana Kshanam,Thriller,img\kshanam.jpeg
Express Raja,Comedy,img\express.jpeg
Agent Sai Srinivasa Athreya,Comedy,img\crime.jpg
Prema Katha Chitram,Horror,img\prema.jpeg
Leo,Action,img\leo.png
Master,Action,img\master.jpeg
Tillu,Comedy,img\tillu.jpg
Arundhati,Horror,img\Arundhati.jpg
Kanchana 2,Horror,img\kanchana 2.jpeg
Kanchana 1,Horror,img\kanchana 1.jpg
Kanchana 3,Horror,img\kanchana 3.jpg
Rolex,Action,img\rolex.jpeg
Aa Intlo,Horror,img\aa intlo.jpg
Devara,Action,img\devara.jpg
Legend,Action,img\legend.jpg
