title,genre,image
Arjun Reddy,Romance,arjun_reddy.jpg
Eega,Fantasy,eega.jpeg
Magadheera,Action,magadherra.jpeg
Baahubali: The Beginning,Action,bahubali1.jpeg
Baahubali: The Conclusion,Action,bahubali2.jpeg
Malliswari,Romance,malleswari.jpeg
Rangasthalam,Drama,rangastalam.jpeg
Bharat Ane Nenu,Drama,barath ana nanu.jpeg
Pelli Sandadi,Comedy,palli sandhadi.jpeg
Seethamma Vakitlo Sirimalle Chettu,Drama,sethama vakitlo.jpeg
Ninnu Kori,Romance,ninu kori.jpeg
Chalo,Comedy,chalo.jpeg
Geetha Govindam,Romance,geetha govindam.jpg
50 Shades of Telugu,Comedy,jagan.jpeg
Sye,Action,sye.jpeg
Annamayya,Historical,annamaya.jpg
Kshana Kshanam,Thriller,kshanam.jpeg
Express Raja,Comedy,express.jpeg
Agent Sai Srinivasa Athreya,Comedy,crime.jpg
Prema Katha Chitram,Horror,prema.jpeg
Leo,Action,leo.png
Master,Action,master.jpeg
Tillu,Comedy,tillu.jpg
Arundhati,Horror,Arundhati.jpg
Kanchana 2,Horror,kanchana 2.jpeg
Kanchana 1,Horror,kanchana 1.jpg
Kanchana 3,Horror,kanchana 3.jpg
Rolex,Action,rolex.jpeg
Aa Intlo,Horror,aa intlo.jpg
Devara,Action,devara.jpg
Legend,Action,legend.jpg
